,Regulator,Days with dox,Days after dox REAL,Days after dox,Biorep,Tube
144,DNMT3B,0,0,0.0,1,LB2014-06-02.014
145,DNMT3B,0,4,3.5,1,LB2014-06-06.001
146,DNMT3B,0,5,5.0,1,LB2014-06-07.001
147,DNMT3B,0,10,10.0,1,LB2014-06-12.001
148,DNMT3B,0,14,13.0,1,LB2014-06-16.001
149,DNMT3B,0,18,17.5,1,LB2014-06-20.001
150,DNMT3B,0,0,0.0,2,LB2014-03-24.019
151,DNMT3B,0,4,3.5,2,LB2014-03-28.019
152,DNMT3B,0,5,5.0,2,LB2014-03-29.019
153,DNMT3B,0,10,10.0,2,LB2014-04-03.021
154,DNMT3B,0,13,13.0,2,LB2014-04-06.019
155,DNMT3B,0,17,17.5,2,LB2014-04-10.019
162,DNMT3B,2,0,0.0,1,LB2014-06-02.016
163,DNMT3B,2,4,3.5,1,LB2014-06-06.003
164,DNMT3B,2,5,5.0,1,LB2014-06-07.003
165,DNMT3B,2,10,10.0,1,LB2014-06-12.003
166,DNMT3B,2,14,13.0,1,LB2014-06-16.003
167,DNMT3B,2,18,17.5,1,LB2014-06-20.003
168,DNMT3B,2,0,0.0,2,LB2014-03-24.021
169,DNMT3B,2,4,3.5,2,LB2014-03-28.021
170,DNMT3B,2,5,5.0,2,LB2014-03-29.021
171,DNMT3B,2,10,10.0,2,LB2014-04-03.023
172,DNMT3B,2,13,13.0,2,LB2014-04-06.021
173,DNMT3B,2,17,17.5,2,LB2014-04-10.021
180,DNMT3B,3,0,0.0,1,LB2014-06-02.017
181,DNMT3B,3,4,3.5,1,LB2014-06-06.004
182,DNMT3B,3,5,5.0,1,LB2014-06-07.004
183,DNMT3B,3,10,10.0,1,LB2014-06-12.004
184,DNMT3B,3,14,13.0,1,LB2014-06-16.004
185,DNMT3B,3,18,17.5,1,LB2014-06-20.004
186,DNMT3B,3,0,0.0,2,LB2014-03-24.022
187,DNMT3B,3,4,3.5,2,LB2014-03-28.022
188,DNMT3B,3,5,5.0,2,LB2014-03-29.022
189,DNMT3B,3,10,10.0,2,LB2014-04-03.024
190,DNMT3B,3,13,13.0,2,LB2014-04-06.022
191,DNMT3B,3,17,17.5,2,LB2014-04-10.022
198,DNMT3B,5,0,0.0,1,LB2014-06-02.019
199,DNMT3B,5,4,3.5,1,LB2014-06-06.006
200,DNMT3B,5,5,5.0,1,LB2014-06-07.006
201,DNMT3B,5,10,10.0,1,LB2014-06-12.006
202,DNMT3B,5,14,13.0,1,LB2014-06-16.006
203,DNMT3B,5,18,17.5,1,LB2014-06-20.006
204,DNMT3B,5,0,0.0,2,LB2014-03-24.024
205,DNMT3B,5,4,3.5,2,LB2014-03-28.024
206,DNMT3B,5,5,5.0,2,LB2014-03-29.024
207,DNMT3B,5,10,10.0,2,LB2014-04-03.026
208,DNMT3B,5,13,13.0,2,LB2014-04-06.024
209,DNMT3B,5,17,17.5,2,LB2014-04-10.024
216,EED,0,0,0.0,1,LB2013-06-25.073
217,EED,0,3,3.0,1,LB2013-06-28.045
218,EED,0,10,9.5,1,LB2013-07-05.001
219,EED,0,13,12.0,1,LB2013-07-08.065
220,EED,0,16,15.5,1,LB2013-07-11.061
221,EED,0,0,0.0,2,LB2013-01-12.008
222,EED,0,3,3.0,2,LB2013-01-15.003
223,EED,0,9,9.5,2,LB2013-01-23.001
224,EED,0,11,12.0,2,LB2013-01-25.001
225,EED,0,16,15.5,2,LB2013-01-30.008
231,EED,2,0,0.0,1,LB2013-06-25.075
232,EED,2,3,3.0,1,LB2013-06-28.047
233,EED,2,10,9.5,1,LB2013-07-05.003
234,EED,2,13,12.0,1,LB2013-07-08.067
235,EED,2,16,15.5,1,LB2013-07-11.063
236,EED,2,0,0.0,2,LB2013-01-12.010
237,EED,2,3,3.0,2,LB2013-01-15.005
238,EED,2,9,9.5,2,LB2013-01-23.003
239,EED,2,11,12.0,2,LB2013-01-25.003
240,EED,2,16,15.5,2,LB2013-01-30.010
246,EED,3,0,0.0,1,LB2013-06-25.076
247,EED,3,3,3.0,1,LB2013-06-28.048
248,EED,3,10,9.5,1,LB2013-07-05.004
249,EED,3,13,12.0,1,LB2013-07-08.068
250,EED,3,16,15.5,1,LB2013-07-11.064
251,EED,3,0,0.0,2,LB2013-01-12.011
252,EED,3,3,3.0,2,LB2013-01-15.006
253,EED,3,9,9.5,2,LB2013-01-23.004
254,EED,3,11,12.0,2,LB2013-01-25.004
