ad,ka,ki,ks,pk,pk2
199.1241136966442,0.01,0.5,0.01,0.010616713900166327,0.009624818771058733
17.21214726167829,0.11,0.5,0.01,0.09566812426778831,0.0391207727769732
11.12474263504024,0.21,0.5,0.01,0.1607712930947412,0.038453852607211236
8.491993314399728,0.31,0.5,0.01,0.21322803939480875,0.035589730022923906
7.949510112036577,0.41,0.5,0.01,0.25802363381301463,0.03384481991170383
6.975135947355777,0.51,0.5,0.01,0.29809193520366156,0.0330550888363405
6.899246914495887,0.61,0.5,0.01,0.3328730566689451,0.03302267834024119
6.505547846544389,0.71,0.5,0.01,0.36353470496890744,0.033580137246348354
6.359675417363324,0.81,0.5,0.01,0.39054138172091946,0.03467183481674557
6.572773787745996,0.91,0.5,0.01,0.41583801397703224,0.03591178946444677
6.430060213881986,1.01,0.5,0.01,0.4402908019864188,0.03771202399141472
6.403983624821776,1.11,0.5,0.01,0.46162367703959606,0.03947016749045382
6.373119711124494,1.21,0.5,0.01,0.4805772866800986,0.04167223951455649
6.403596019937659,1.31,0.5,0.01,0.49808990796745894,0.043951416959156546
6.625648685311941,1.41,0.5,0.01,0.5145794870964784,0.04634004526134212
6.692466646765977,1.51,0.5,0.01,0.5307655625551777,0.0487821416314209
6.700145617375261,1.61,0.5,0.01,0.5467240065927943,0.05158617463222108
6.772201044117996,1.71,0.5,0.01,0.5606658089849929,0.054382556732937334
6.8616635437124565,1.81,0.5,0.01,0.5736615504975444,0.057130781232582986
6.958961240316708,1.91,0.5,0.01,0.5858778026380902,0.06044632127888806
7.063469734423068,2.01,0.5,0.01,0.5974090254665173,0.06336341677337433
7.123882665658063,2.11,0.5,0.01,0.6075733056876909,0.06655987783999598
7.202087862471358,2.21,0.5,0.01,0.6172375914220322,0.06958736773943335
7.500106964691262,2.31,0.5,0.01,0.6272120365287692,0.07291539737252792
7.6139669874438995,2.41,0.5,0.01,0.6367502900329057,0.07599466506339485
7.731458762905972,2.51,0.5,0.01,0.6457794668584158,0.07934658626524725
7.826462310069239,2.61,0.5,0.01,0.6543458405324346,0.08279413069269068
7.949462499771039,2.71,0.5,0.01,0.6624977461664271,0.08612423973989265
7.9997418026436025,2.81,0.5,0.01,0.6710458665267408,0.0895254431706748
8.110165928600814,2.91,0.5,0.01,0.6784233052629023,0.09294012711635709
8.23281311934892,3.01,0.5,0.01,0.6854627768092496,0.0964436888714948
8.342299576669264,3.11,0.5,0.01,0.6922046646122832,0.09987322772232264
8.468993711934525,3.21,0.5,0.01,0.6986710022075908,0.10325383029006668
8.596817320188041,3.31,0.5,0.01,0.7048776007962511,0.10668563213885932
8.711844191052245,3.41,0.5,0.01,0.7108403929711182,0.11037622716732456
8.841413797890606,3.51,0.5,0.01,0.7165732234978232,0.11379741886534851
8.93815235208328,3.61,0.5,0.01,0.7216492060724394,0.11733308461349896
9.05082733628578,3.71,0.5,0.01,0.7265114901710695,0.12087712176650058
9.346585560733741,3.81,0.5,0.01,0.731590536202493,0.1244181819631218
9.4764812877388,3.91,0.5,0.01,0.7366225078361515,0.12794811454760863
9.572074171909456,4.01,0.5,0.01,0.7414644275864372,0.13146432849450693
9.7037180321395,4.11,0.5,0.01,0.7461292865319079,0.1349712487816542
9.835946226075118,4.21,0.5,0.01,0.750628230367543,0.13839863817240758
9.969647387494355,4.31,0.5,0.01,0.7549568266329186,0.1419666962356652
10.103972029951048,4.41,0.5,0.01,0.7591368430673112,0.14543970600547565
10.238681352583205,4.51,0.5,0.01,0.763178884201062,0.14888929755217156
10.373701763533154,4.61,0.5,0.01,0.7670904138216379,0.15232108044642556
10.464462295718679,4.71,0.5,0.01,0.771314581512386,0.15575653242034873
10.56527527902003,4.81,0.5,0.01,0.7750717436103994,0.15912266375115267
10.683242770844489,4.91,0.5,0.01,0.7786351534377293,0.16255213150663056
10.813060643653252,5.01,0.5,0.01,0.782060218586437,0.16604985505547026
10.946613838543197,5.11,0.5,0.01,0.785386474485015,0.1692868750570394
11.08056718772637,5.21,0.5,0.01,0.7886155953578305,0.17267862996685213
11.191559684042401,5.31,0.5,0.01,0.791751827569094,0.17606044200932341
11.326072438635817,5.41,0.5,0.01,0.7947991432939723,0.1794118093035018
11.460822532646002,5.51,0.5,0.01,0.7977613286937975,0.1827358926626883
11.595779070275716,5.61,0.5,0.01,0.8006418762906529,0.1860345432919554
11.730884551643372,5.71,0.5,0.01,0.8034439541495845,0.1891835637524639
11.866143752089613,5.81,0.5,0.01,0.8061707663574502,0.19252395076836015
12.001815616662027,5.91,0.5,0.01,0.8088263534591791,0.19579545004277624
12.13779259243867,6.01,0.5,0.01,0.8114131407059926,0.19895550821703262
12.273870306163321,6.11,0.5,0.01,0.8139330136980502,0.20216166770418703
12.377798311461447,6.21,0.5,0.01,0.8161293985488313,0.20534125514383697
12.504362341008251,6.31,0.5,0.01,0.8183902165536993,0.20843817070984896
12.616276982726317,6.41,0.5,0.01,0.8205802973977993,0.21157932874113597
12.891321505372252,6.51,0.5,0.01,0.8228047210085563,0.21464377650416264
13.026953480541641,6.61,0.5,0.01,0.825059210262025,0.21773862165868613
13.162915047259812,6.71,0.5,0.01,0.8272554041150555,0.22080469386110038
13.309511307327398,6.81,0.5,0.01,0.8293963824386476,0.2238342569271649
13.445970781926235,6.91,0.5,0.01,0.8314845904463886,0.2268241199397474
13.582626402693274,7.01,0.5,0.01,0.8335223715251867,0.22977464288118546
13.719504021680825,7.11,0.5,0.01,0.8355112830206908,0.2326866786208182
13.85652072050283,7.21,0.5,0.01,0.8374538326696613,0.23556105835894298
13.993636858296687,7.31,0.5,0.01,0.839351958668081,0.23848247599664485
14.091446107508446,7.41,0.5,0.01,0.8412070438576666,0.24142469708692987
14.228288500634683,7.51,0.5,0.01,0.8430209119967164,0.2443357844145169
14.365203402294116,7.61,0.5,0.01,0.8447947661543997,0.24720534379449857
14.502182856470794,7.71,0.5,0.01,0.8465299622315995,0.25002018797869613
14.639210262746282,7.81,0.5,0.01,0.8482278736765214,0.25280175183999987
14.776280660700571,7.91,0.5,0.01,0.8498897039895359,0.2554757541817834
14.913393204440807,8.01,0.5,0.01,0.8515165714455591,0.25832244498887347
15.008557113392072,8.11,0.5,0.01,0.8533846830384096,0.2610379931756801
15.13577667086754,8.21,0.5,0.01,0.854974696842267,0.26376250923261224
15.263776076626105,8.31,0.5,0.01,0.8565176340582809,0.2663927822939908
15.392400119244666,8.41,0.5,0.01,0.8580172231057606,0.2690972859146695
15.521537672811544,8.51,0.5,0.01,0.8594763762510023,0.2717239620484562
15.65651531052293,8.61,0.5,0.01,0.8609047617663873,0.27439688063880807
15.79278073023056,8.71,0.5,0.01,0.8623059365343656,0.2768546860805582
15.929172909992278,8.81,0.5,0.01,0.8636799691565219,0.27945958172131147
16.065673606074654,8.91,0.5,0.01,0.8650276459492763,0.2820376812058878
16.20226727043588,9.01,0.5,0.01,0.8663497156357937,0.28459016484742505
16.338954641386106,9.11,0.5,0.01,0.8676469126154447,0.28711796251265387
16.475781658381894,9.21,0.5,0.01,0.8689200039025876,0.2896219209310465
16.588285794247714,9.31,0.5,0.01,0.8701695484927052,0.2921026386293918
16.725028226871682,9.41,0.5,0.01,0.8713961890343885,0.2945665340313053
16.861813258602815,9.51,0.5,0.01,0.8726005381276531,0.2970056825406758
16.99863431538092,9.61,0.5,0.01,0.873783182961635,0.2994204963911071
17.135487746329034,9.71,0.5,0.01,0.8749446942160184,0.30181160320370604
17.272375737926282,9.81,0.5,0.01,0.8760856323142472,0.3041795926311804
17.409287716912612,9.91,0.5,0.01,0.877206515932281,0.30652498893171876
17.5462285825313,10.01,0.5,0.01,0.878307872408342,0.30884828249257046
17.68319943076621,10.11,0.5,0.01,0.8793902047915751,0.31114991554356786
17.82018724322245,10.21,0.5,0.01,0.880453974076518,0.313430356355715
17.957193374961044,10.31,0.5,0.01,0.8814996505497069,0.3156903163914661
18.09421609443425,10.41,0.5,0.01,0.8825276841671661,0.3179260753932008
18.231256655401193,10.51,0.5,0.01,0.8835385143762494,0.32013987271001026
18.347905371875935,10.61,0.5,0.01,0.8844433022755989,0.3223832559307439
18.47901198196992,10.71,0.5,0.01,0.8853847725995946,0.324622526719225
18.610581577549414,10.81,0.5,0.01,0.8863075883253823,0.32680109548287883
18.742534665581278,10.91,0.5,0.01,0.8872126287498874,0.3289319948438101
18.87481204512485,11.01,0.5,0.01,0.8881006388378995,0.33108470264526374
19.00736360852005,11.11,0.5,0.01,0.888972204194614,0.3332357938149739
19.302961637755377,11.21,0.5,0.01,0.8898494137821358,0.335315992977966
19.43970304909276,11.31,0.5,0.01,0.8907488896654794,0.33741722218836023
19.533698727458653,11.41,0.5,0.01,0.8916325456078585,0.33950909153638026
19.670609269752923,11.51,0.5,0.01,0.8925018691252196,0.34156420298660856
19.807597242048743,11.61,0.5,0.01,0.8933572565739111,0.3436001143672876
