hillcoeff,input,ka,kd50,ks,nmediators
3.0739613191070667,1.0,20.0,0.013308193241281302,20.0,20.0
3.0748893039229874,1.0,19.75,0.013388144055077576,20.0,20.0
3.0758241145938894,1.0,19.5,0.013469629092332543,20.0,20.0
3.076765755919735,1.0,19.25,0.013552697776486624,20.0,20.0
3.0777129777243135,1.0,19.0,0.01363740288340388,20.0,20.0
3.078665100823062,1.0,18.75,0.013723799429074491,20.0,20.0
3.0796242098724425,1.0,18.5,0.013811943925810264,20.0,20.0
3.080590804942639,1.0,18.25,0.013901895661610927,20.0,20.0
3.081564376288075,1.0,18.0,0.013993716838358377,20.0,20.0
3.0825438936200076,1.0,17.75,0.014087473848643672,20.0,20.0
3.083529815872207,1.0,17.5,0.014183235986643622,20.0,20.0
3.084523681326227,1.0,17.25,0.014281075070761007,20.0,20.0
3.08552491678585,1.0,17.0,0.014381067050449054,20.0,20.0
3.086533479171414,1.0,16.75,0.014483291954835609,20.0,20.0
3.08754893205148,1.0,16.5,0.014587834951106375,20.0,20.0
3.088572537524064,1.0,16.25,0.014694784371358927,20.0,20.0
3.0896043116334027,1.0,16.0,0.014804233611787537,20.0,20.0
3.090643913071871,1.0,15.75,0.01491628145006272,20.0,20.0
3.091691454503548,1.0,15.5,0.015031032913976314,20.0,20.0
3.0927478088609104,1.0,15.25,0.015148598074359634,20.0,20.0
3.093812616326023,1.0,15.0,0.015269093461423562,20.0,20.0
3.094886366867551,1.0,14.75,0.015392642877522993,20.0,20.0
3.0959693786816365,1.0,14.5,0.015519378009688061,20.0,20.0
3.0970616203262695,1.0,14.25,0.015649437833029328,20.0,20.0
3.0981632865707556,1.0,14.0,0.015782969536534353,20.0,20.0
3.0992751570636967,1.0,13.75,0.015920130452545183,20.0,20.0
3.1003966790466633,1.0,13.5,0.016061088138359735,20.0,20.0
3.101528549806118,1.0,13.25,0.016206020665607574,20.0,20.0
3.1026716023433982,1.0,13.0,0.01635511856328284,20.0,20.0
3.1038246448294537,1.0,12.75,0.0165085850279775,20.0,20.0
3.1049902047302584,1.0,12.5,0.016666636906497362,20.0,20.0
3.1061664591325653,1.0,12.25,0.016829507983234685,20.0,20.0
3.1073551544323545,1.0,12.0,0.016997447425797608,20.0,20.0
3.1085562357815184,1.0,11.75,0.017170723152520374,20.0,20.0
3.1097696351045054,1.0,11.5,0.01734962449147164,20.0,20.0
3.1109967144291297,1.0,11.25,0.01753446148210974,20.0,20.0
3.112236930086295,1.0,11.0,0.01772557005022541,20.0,20.0
3.1134917261697037,1.0,10.75,0.017923313011625624,20.0,20.0
3.114760695948972,1.0,10.5,0.01812808283167321,20.0,20.0
3.1160449788866393,1.0,10.25,0.018340304659385527,20.0,20.0
3.1173447415030715,1.0,10.0,0.018560442640872622,20.0,20.0
3.118660700349788,1.0,9.75,0.01878900054910716,20.0,20.0
3.1199939194291897,1.0,9.5,0.01902652926579524,20.0,20.0
3.1213445705970844,1.0,9.25,0.01927363091575193,20.0,20.0
3.122713267349168,1.0,9.0,0.019530965398178134,20.0,20.0
3.124101101277327,1.0,8.75,0.01979925906924387,20.0,20.0
3.125508749217712,1.0,8.5,0.020079311564906444,20.0,20.0
3.1269369742190345,1.0,8.25,0.02037200831953239,20.0,20.0
3.1283870265155214,1.0,8.0,0.020678328221059316,20.0,20.0
3.1298596113157804,1.0,7.75,0.020999362614764625,20.0,20.0
3.1313561755025883,1.0,7.5,0.021336327210569328,20.0,20.0
3.1328776114535346,1.0,7.25,0.021690584391724003,20.0,20.0
3.1344253387061913,1.0,7.0,0.02206366429634484,20.0,20.0
3.136000881666551,1.0,6.75,0.02245729449470369,20.0,20.0
3.1376056228714866,1.0,6.5,0.022873433494015195,20.0,20.0
3.1392412731592865,1.0,6.25,0.023314309276185892,20.0,20.0
3.140910054580486,1.0,6.0,0.023782473540373106,20.0,20.0
3.1426136561804294,1.0,5.75,0.024280861226930666,20.0,20.0
3.1443545998159483,1.0,5.5,0.024812869589443027,20.0,20.0
3.1461355835447264,1.0,5.25,0.02538245550281834,20.0,20.0
3.147959137599734,1.0,5.0,0.025994259637081088,20.0,20.0
3.1498289523893037,1.0,4.75,0.026653767407266472,20.0,20.0
3.1517484574064056,1.0,4.5,0.027367516534384614,20.0,20.0
3.1537221048584922,1.0,4.25,0.028143371802223694,20.0,20.0
3.1557549595750634,1.0,4.0,0.028990892983463603,20.0,20.0
3.15785236404342,1.0,3.75,0.029921836282492866,20.0,20.0
3.160021409163301,1.0,3.5,0.03095084617741716,20.0,20.0
3.162269423432158,1.0,3.25,0.03209644264462497,20.0,20.0
3.16460100414247,1.0,3.0,0.033382476233065006,20.0,20.0
3.1670305614447525,1.0,2.75,0.034840162942922616,20.0,20.0
3.169571344166457,1.0,2.5,0.03651142457624058,20.0,20.0
3.172240346198489,1.0,2.25,0.038454075679396044,20.0,20.0
3.1750597363254944,1.0,2.0,0.0407505137827352,20.0,20.0
3.1780590856326643,1.0,1.75,0.04352303020895326,20.0,20.0
3.181278681293437,1.0,1.5,0.046962665648424606,20.0,20.0
3.184776615006839,1.0,1.25,0.05138849662645522,20.0,20.0
3.1886423817057117,1.0,1.0,0.057384395466030344,20.0,20.0
3.1930328258539142,1.0,0.75,0.06617070662457594,20.0,20.0
3.1982371697513616,1.0,0.5,0.08091007773931297,20.0,20.0
3.2049779804504452,1.0,0.25,0.11418193956466031,20.0,20.0
2.0167976683041813,1.0,0.0,43731.81475817244,20.0,20.0
3.073026722065995,1.0,20.0,0.013396198915476939,19.75,20.0
3.0739611526764437,1.0,19.75,0.013476651985026686,19.75,20.0
3.0749021779679757,1.0,19.5,0.013558648774319705,19.75,20.0
3.0758492011214753,1.0,19.25,0.013642239403138617,19.75,20.0
3.076801044002782,1.0,19.0,0.01372747729865527,19.75,20.0
3.077759633484418,1.0,18.75,0.01381441688579212,19.75,20.0
3.0787255305210928,1.0,18.5,0.013903115189149499,19.75,20.0
3.0796982469058585,1.0,18.25,0.013993631932130376,19.75,20.0
3.0806773410960613,1.0,18.0,0.014086030058826011,19.75,20.0
3.0816625101049673,1.0,17.75,0.014180376646296974,19.75,20.0
3.082655410141986,1.0,17.5,0.014276740513409563,19.75,20.0
3.0836555486808352,1.0,17.25,0.014375194390044256,19.75,20.0
3.084663061998747,1.0,17.0,0.014475814614543378,19.75,20.0
3.085677451847362,1.0,16.75,0.014578682322108677,19.75,20.0
3.086699688457268,1.0,16.5,0.014683882395689863,19.75,20.0
3.087729986376636,1.0,16.25,0.014791504013255964,19.75,20.0
3.0887681300938494,1.0,16.0,0.014901641055052465,19.75,20.0
3.0898139700710416,1.0,15.75,0.015014393397472509,19.75,20.0
3.090868600595387,1.0,15.5,0.01512986626985678,19.75,20.0
3.091931408501406,1.0,15.25,0.015248170475379215,19.75,20.0
3.0930028874740585,1.0,15.0,0.015369423302284243,19.75,20.0
3.094083680079281,1.0,14.75,0.015493749636358434,19.75,20.0
3.0951735230273774,1.0,14.5,0.015621281824171074,19.75,20.0
3.096272413125395,1.0,14.25,0.015752159430002043,19.75,20.0
3.097381414999407,1.0,14.0,0.015886530655560272,19.75,20.0
3.098500304628505,1.0,13.75,0.016024554185390973,19.75,20.0
3.0996284778918546,1.0,13.5,0.016166398428781988,19.75,20.0
3.1007682315912275,1.0,13.25,0.01631224244868973,19.75,20.0
3.1019179219879973,1.0,13.0,0.016462278297872255,19.75,20.0
3.103078848107928,1.0,12.75,0.016616709869655858,19.75,20.0
3.1042515353156204,1.0,12.5,0.016775756130007483,19.75,20.0
3.1054351610860955,1.0,12.25,0.01693965197950158,19.75,20.0
3.1066316818474293,1.0,12.0,0.01710864768028106,19.75,20.0
3.1078400567566207,1.0,11.75,0.017283013890529844,19.75,20.0
3.1090614629569964,1.0,11.5,0.01746304070723963,19.75,20.0
3.1102960168098654,1.0,11.25,0.017649040827286046,19.75,20.0
3.1115444751603696,1.0,11.0,0.01784135207994419,19.75,20.0
3.1128069522653186,1.0,10.75,0.018040339608145887,19.75,20.0
3.1140842283232297,1.0,10.5,0.01824639791387613,19.75,20.0
3.1153764207515615,1.0,10.25,0.01845995556803297,19.75,20.0
3.1166846112234667,1.0,10.0,0.01868147928587753,19.75,20.0
3.1180091184354817,1.0,9.75,0.018911475792347147,19.75,20.0
3.119350371496411,1.0,9.5,0.01915049983631146,19.75,20.0
3.120709771822333,1.0,9.25,0.01939915686515087,19.75,20.0
3.122087269134341,1.0,9.0,0.01965811157805125,19.75,20.0
3.1234837715015265,1.0,8.75,0.019928094472295474,19.75,20.0
3.124900520268821,1.0,8.5,0.020209910410566936,19.75,20.0
3.1263378964702357,1.0,8.25,0.020504450216072338,19.75,20.0
3.1277970663575645,1.0,8.0,0.020812699108075653,19.75,20.0
3.129278996497595,1.0,7.75,0.02113575527455983,19.75,20.0
3.1307849766183375,1.0,7.5,0.02147484226838189,19.75,20.0
3.1323161179326373,1.0,7.25,0.021831330528186567,19.75,20.0
3.1338735948651775,1.0,7.0,0.02220676069614064,19.75,20.0
3.135459115043349,1.0,6.75,0.022602870564453956,19.75,20.0
3.1370740951237512,1.0,6.5,0.023021630827465757,19.75,20.0
3.1387202151313316,1.0,6.25,0.023465284410001033,19.75,20.0
3.1403994424878308,1.0,6.0,0.023936398485246004,19.75,20.0
